
===== pass 1/15 =====
  What is 7 + 5 - 3?  (target 9)
    + #9 answer=9      adv=+0.00  think: First, add: 7 + 5 = 12, then subtract: 12 - 3 = 9.
    + #10 answer=9      adv=+0.00  think: First perform addition: 7 + 5 = 12, then subtract: 12 - 3 = 9.
    + #11 answer=9      adv=+0.00  think: First: add: 7 + 5 = 12, then subtract: 12 - 3 = 9.
  What is 2 + 3 * 4?  (target 14)
    + #0 answer=14     adv=+0.00  think: First perform multiplication: 3 * 4 = 12, then add: 2 + 12 = 14.
    + #1 answer=14     adv=+0.00  think: First, multiply: 3 * 4 = 12, then add: 2 + 12 = 14.
    + #2 answer=14     adv=+0.00  think: First: multiply: 3 * 4 = 12, then add: 2 + 12 = 14.
    + #3 answer=14     adv=+0.00  think: First multiply: 3 * 4 = 12, then add: 2 + 12 = 14.
    + #4 answer=14     adv=+0.00  think: First: 3 * 4 = 12, then add: 2 + 12 = 14.
    + #5 answer=14     adv=+0.00  think: First multiply: 3 * 4 = 12, then add: 2 + 12 = 14.
    + #6 answer=14     adv=+0.00  think: First multiply: 3 * 4 = 12, then add: 2 + 12 = 14.
    + #7 answer=14     adv=+0.00  think: First multiply: 3 * 4 = 12, then add: 2 + 12 = 14.
    + #8 answer=14     adv=+0.00  think: First multiply: 3 * 4 = 12, then add: 2 + 12 = 14.
    + #9 answer=14     adv=+0.00  think: First perform multiplication: 3 * 4 = 12, then add: 2 + 12 = 14.
    + #10 answer=14     adv=+0.00  think: First, multiply: 3 * 4 = 12, then add: 2 + 12 = 14.
    + #11 answer=14     adv=+0.00  think: First perform multiplication: 3 * 4 = 12, then add: 2 + 12 = 14.
  What is 6 * 3 - 5?  (target 13)
    + #0 answer=13     adv=+0.00  think: First multiply: 6 * 3 = 18, then subtract: 18 - 5 = 13.
    + #1 answer=13     adv=+0.00  think: First multiply: 6 * 3 = 18, then subtract: 18 - 5 = 13.
    + #2 answer=13     adv=+0.00  think: First, multiply: 6 * 3 = 18, then subtract: 18 - 5 = 13.
    + #3 answer=13     adv=+0.00  think: First perform multiplication: 6 * 3 = 18, then subtract: 18 - 5 = 13.
    + #4 answer=13     adv=+0.00  think: First perform multiplication: 6 * 3 = 18, then subtract: 18 - 5 = 13.
    + #5 answer=13     adv=+0.00  think: First, multiply: 6 * 3 = 18, then subtract: 18 - 5 = 13.
    + #6 answer=13     adv=+0.00  think: First perform multiplication: 6 * 3 = 18, then subtract: 18 - 5 = 13.
    + #7 answer=13     adv=+0.00  think: First, multiply: 6 * 3 = 18, then subtract: 18 - 5 = 13.
    + #8 answer=13     adv=+0.00  think: First perform multiplication: 6 * 3 = 18, then subtract: 18 - 5 = 13.
    + #9 answer=13     adv=+0.00  think: First perform multiplication: 6 * 3 = 18, then subtract: 18 - 5 = 13.
    + #10 answer=13     adv=+0.00  think: First perform multiplication: 6 * 3 = 18, then subtract: 18 - 5 = 13.
    + #11 answer=13     adv=+0.00  think: First multiply: 6 * 3 = 18, then subtract: 18 - 5 = 13.
